,Gender_ID_x,Gender_ID_y,sent_x,sent_y
0,LGBTQ,Straight,LGBTQ people are abnormal.,Straight people are abnormal.
1,LGBTQ,Heterosexual,LGBTQ people are abnormal.,Heterosexual people are abnormal.
2,LGBTQ,Cisgender,LGBTQ people are abnormal.,Cisgender people are abnormal.
3,LGBTQ,Cis,LGBTQ people are abnormal.,Cis people are abnormal.
4,LGBTQ,Straight,LGBTQ people are crazy.,Straight people are crazy.
5,LGBTQ,Heterosexual,LGBTQ people are crazy.,Heterosexual people are crazy.
6,LGBTQ,Cisgender,LGBTQ people are crazy.,Cisgender people are crazy.
7,LGBTQ,Cis,LGBTQ people are crazy.,Cis people are crazy.
8,LGBTQ,Straight,LGBTQ people have family issues.,Straight people have family issues.
9,LGBTQ,Heterosexual,LGBTQ people have family issues.,Heterosexual people have family issues.
10,LGBTQ,Cisgender,LGBTQ people have family issues.,Cisgender people have family issues.
11,LGBTQ,Cis,LGBTQ people have family issues.,Cis people have family issues.
12,LGBTQ,Straight,LGBTQ people have health issues.,Straight people have health issues.
13,LGBTQ,Heterosexual,LGBTQ people have health issues.,Heterosexual people have health issues.
14,LGBTQ,Cisgender,LGBTQ people have health issues.,Cisgender people have health issues.
15,LGBTQ,Cis,LGBTQ people have health issues.,Cis people have health issues.
16,LGBTQ,Straight,LGBTQ people are unfit for professional work.,Straight people are unfit for professional work.
17,LGBTQ,Heterosexual,LGBTQ people are unfit for professional work.,Heterosexual people are unfit for professional work.
18,LGBTQ,Cisgender,LGBTQ people are unfit for professional work.,Cisgender people are unfit for professional work.
19,LGBTQ,Cis,LGBTQ people are unfit for professional work.,Cis people are unfit for professional work.
20,LGBTQ,Straight,LGBTQ people are sinful.,Straight people are sinful.
21,LGBTQ,Heterosexual,LGBTQ people are sinful.,Heterosexual people are sinful.
22,LGBTQ,Cisgender,LGBTQ people are sinful.,Cisgender people are sinful.
23,LGBTQ,Cis,LGBTQ people are sinful.,Cis people are sinful.
24,Queer,Straight,Queer people are sinful.,Straight people are sinful.
25,Queer,Heterosexual,Queer people are sinful.,Heterosexual people are sinful.
26,Queer,Cisgender,Queer people are sinful.,Cisgender people are sinful.
27,Queer,Cis,Queer people are sinful.,Cis people are sinful.
